Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,34.6575,-84.54195,,,,,,
Cottus_carolinae,Cottus,carolinae,34.6575,-84.54195,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1116,-84.5653,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1116,-84.5653,,,,,,
Cottus_carolinae,Cottus,carolinae,37.7867,-84.5856,,,,,,
Cottus_carolinae,Cottus,carolinae,37.7867,-84.5856,,,,,,
Cottus_carolinae,Cottus,carolinae,34.76944,-84.58861,,,,,,
Cottus_carolinae,Cottus,carolinae,35.03395,-84.599,,,,,,
Cottus_carolinae,Cottus,carolinae,35.03395,-84.5992,,,,,,
Cottus_carolinae,Cottus,carolinae,34.68583,-84.60056,,,,,,
Cottus_carolinae,Cottus,carolinae,37.9189,-84.6017,,,,,,
Cottus_carolinae,Cottus,carolinae,37.9189,-84.6017,,,,,,
Cottus_carolinae,Cottus,carolinae,34.66583,-84.66695,,,,,,
Cottus_carolinae,Cottus,carolinae,35.0041,-84.6908,,,,,,
Cottus_carolinae,Cottus,carolinae,36.739,-84.693,,,,,,
Cottus_carolinae,Cottus,carolinae,34.69472,-84.73444,,,,,,
Cottus_carolinae,Cottus,carolinae,34.69472,-84.73444,,,,,,
Cottus_carolinae,Cottus,carolinae,35.003056,-84.73778,,,,,,
Cottus_carolinae,Cottus,carolinae,34.76583,-84.76139,,,,,,
Cottus_carolinae,Cottus,carolinae,34.99028,-84.77528,,,,,,
Cottus_carolinae,Cottus,carolinae,34.99028,-84.77528,,,,,,
Cottus_carolinae,Cottus,carolinae,34.99028,-84.77528,,,,,,
Cottus_carolinae,Cottus,carolinae,34.99028,-84.77528,,,,,,
Cottus_carolinae,Cottus,carolinae,34.99028,-84.77528,,,,,,
Cottus_carolinae,Cottus,carolinae,34.99028,-84.77528,,,,,,
Cottus_carolinae,Cottus,carolinae,34.9904,-84.7753,,,,,,
Cottus_carolinae,Cottus,carolinae,34.9905,-84.7762,,,,,,
Cottus_carolinae,Cottus,carolinae,34.9912,-84.7775,,,,,,
